term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
snore,0.05000000001160011,0.05,0.05,0.05,0.05,0.05,0.05,2.1902427307631207,0.05,0.7011394314445041,0.050000056522553064,0.05,0.05000000143465866,0.05,4.3988605682412185,0.05,0.9071269956009704,0.05,0.05,0.05263021594813912
snores,0.05000000049713545,0.05000000022555781,0.05,0.05,0.05,0.05,0.05,4.799559178499696,0.05000000025451017,0.05000000007987044,0.05,0.05,0.05,0.050000000111324466,1.9295402898705052,0.050000001071996945,0.05,0.05,0.05,4.4209005293618375
snort,0.08960700799661438,2.7839848290068647,0.05,0.05,0.05,0.05,0.05,4.6028086198091405,0.05,0.05790535717127723,0.05000000034653293,0.05,0.05000000041218398,1.0500000000378387,3.583679705171203,0.05000000048148129,1.0103929919854544,0.05,0.05,2.2216214875396005
snout,0.05000000060171131,3.6971641114106717,0.050000000731106525,0.05,1.0500000000952814,0.05,0.05,0.06081512019426087,0.050000001316092224,1.687792895667907,0.9721807416917445,0.05,3.2528458745659936,0.05,1.553615790054332,0.05000000138076538,2.718934847036921,0.05000000047540826,0.05,3.456650614739283
snow,3.9172695351711275,0.16539597785603055,2.0921248050101853,0.05,0.050000000423671434,0.05,0.05,3.5399167093014734,0.05,0.05000000062640387,0.05000000016146809,0.05,24.456557402517667,0.05000000007444983,26.074461203768635,0.0500000003963512,0.4765347613020767,0.050000001504912156,0.05000000005014968,1.6777396018092203
snowy,0.050000000396098004,0.05,1.35812931616422,0.05,0.05,0.05,0.05,5.687272506960677,0.05,0.05,0.051915032464860456,0.05,1.0751728920419878,0.05,1.7533711779735361,0.05,0.05,0.05000000017256192,0.9312727987461463,9.492866275050732
snowy owl,0.0500000006769958,0.05,0.05000000064397977,0.05,0.05,0.05,0.05,6.364870105231965,0.05,0.05,0.09783097548813935,0.05,0.05,0.05,0.05000000069827548,0.05,0.05,0.05000000020792607,0.9943722915959216,3.7429266254343982
sob,0.05000000015965073,1.6939125429966848,0.05,0.05,0.05,0.050000000104620065,0.05,0.05148754703718016,0.05,1.5013302857896196,1.0904389641635766,0.05,2.2237373207483624,0.05,6.247624814586991,0.050000000578801024,0.05000000002613066,0.05,0.05,0.5414685237730467
sobbing,0.05,0.05,0.05,0.05,0.05,0.05000000251255956,0.05,1.620231716329456,0.05000000192328264,0.05,2.0742401434269304,0.05,2.328393806173366,0.05,1.1771343282099596,0.05,0.05,0.05,0.05,0.05000000138835918
sobs,0.05000000020434973,0.05000000016110802,0.05000000040785011,0.05,0.05,0.05000000029605113,0.05,2.871655524013902,1.050000000055559,0.05,2.4628076725978647,0.05,4.023719701015591,0.441082381787193,10.329459999622136,0.0500000000729009,0.050000000035928194,0.05000000026520802,0.05,4.171274719431212
soccer,0.050000001814033024,2.209190033348536,0.05,0.05,0.05,0.05,0.05,2.8915610031924635,0.05,2.8908099656707127,0.05000000109643048,0.05,0.05,0.05000000229546867,0.050000001644970024,0.05,0.0500000013229013,0.050000000161957325,0.05,0.20843898941856365
society,0.05000000015638632,0.05,0.05,0.05,0.05,0.05,0.05,3.339074992568897,0.05,0.05,1.2069953137372207,0.05,0.05000000034409338,0.05000000162802483,1.2783582133600428,0.050000000342737744,1.3755714775040846,0.05,0.05,0.05000000033076939
sock,0.05000000006425637,0.05000000623876547,0.05,0.05,0.05,0.05,0.05,10.83121415953504,0.05000000069257216,0.5903032874460501,0.05,0.05,0.05,0.05000000143238759,0.7430924039432426,0.05000000006594043,0.050000001501944155,0.050000000180161666,0.05,3.0353901388629567
socket,0.050000000048312274,0.05,0.05,0.05,0.05,0.05,0.05,1.3029098757178152,0.05000000070480258,0.05000000045061147,0.05,0.05,0.05,0.05,0.05000000195734156,0.05,0.050000002741213787,0.05000000009390245,2.0185810240277977,3.828509094223721
sockets,0.05,0.05000000013264031,0.050000001073037315,1.0500000002117702,0.05,0.050000000082157964,0.05,0.05000000088149302,0.05,0.05,0.05000000026149645,0.05,0.0500001408877037,0.05,1.0555564520870468,0.05,0.05,0.05000000070286285,0.05,7.044443403651215
socks,0.050000000050135,0.5016329254440657,0.050000000437587955,0.05,0.05000000020771124,0.050000000067672065,0.05,15.873116015806625,2.0988923053431576,0.05000000205723568,4.495771892043189,0.05,0.05000000017672069,0.05000000030451127,34.52730227458596,0.050000000103616625,1.7103368287935108,0.05000000053273106,0.05,2.1429477540151933
sofa,7.273768008346944,0.05,0.0500000057572934,0.05,0.05,0.13253204906512728,0.05,9.235877864422026,0.05,0.05,18.60798860741392,0.05,2.987052404314418,0.05,0.050000000266572725,0.05,0.05,0.050000000106573954,0.05000000001472354,3.0627810602682537
solution,0.05,0.05000000061124002,0.05,0.05,0.05,1.0270120991609264,0.05,0.3890141850392692,1.0500000000566376,0.050000000560743586,0.05000000032575163,0.05,0.05000000024468385,0.8771053614559703,6.176466623524204,0.05,0.05000000016202778,2.050000000112589,0.05,3.7804017287173397
