book_id,chap_num,n,book_chap_sig
6,10.0,6123,0.0002835505581234376
6,11.0,5266,0.0002737142706571532
6,12.0,5546,0.00023828557463355263
6,13.0,5561,0.0003381891607351492
6,14.0,6702,0.00025250000429296015
6,15.0,6051,0.00032693608255488025
6,16.0,6363,0.0003177783124862694
6,17.0,6567,0.0002517773464898001
6,18.0,6709,0.00029223375447114304
6,19.0,6438,0.00028525585168610976
6,20.0,6768,0.0002710200591471411
6,21.0,5976,0.00020940081430791523
6,22.0,6004,0.0002634198039723122
6,23.0,5934,0.00024697625658895114
6,24.0,6081,0.0002305476004984797
6,25.0,5218,0.0002492651094940388
6,26.0,6428,0.00017045758852056065
6,27.0,4637,0.00019174466274361206
6,28.0,3648,0.00016286476902237608
6,29.0,5687,0.00021800494894255723
6,30.0,5616,0.00018548851586946066
7,1.0,3201,0.00019974239152730048
7,2.0,4192,0.0002673045379493589
7,3.0,3454,0.000291265130060559
7,4.0,5626,0.00021162832896440788
7,5.0,6206,0.0002636739816798926
7,6.0,6887,0.00025253888637112034
7,7.0,6773,0.00022525274293030138
7,8.0,6349,0.0003706510116913091
7,9.0,4272,0.00018384381865359022
7,10.0,6813,0.00021605401217859068
7,11.0,5743,0.00024078077892612364
7,12.0,6272,0.0002179943513149017
7,13.0,5954,0.00020415849018452117
7,14.0,4344,0.00021455957161768327
7,15.0,7227,0.00022995592316767086
7,16.0,5314,0.00021586739445961245
7,17.0,5527,0.00016031733526584757
7,18.0,3545,0.00026578358021195553
7,19.0,6881,0.00018566062188666698
7,20.0,4625,0.0002315117008066843
7,21.0,4934,0.00019091585880073023
7,22.0,6026,0.00021317016200085662
7,23.0,8048,0.0002153713463710683
7,24.0,6878,0.00018761529680550414
7,25.0,4484,0.0002091963311649253
7,26.0,6958,0.00019871386901392359
7,27.0,2669,0.00015863624629907933
7,28.0,4706,0.00020393791443599658
7,29.0,4730,0.00023859794301890353
7,30.0,5025,0.00021245088674440375
7,31.0,8143,0.00019467203298841718
7,32.0,5624,0.00016186774368882672
7,33.0,8440,0.00023304403920336794
7,34.0,3928,0.00017280776920776847
7,35.0,5057,0.00025097985813705965
7,36.0,7308,0.00018299400810803905
7,37.0,1696,0.0002759548659754691
